Date,Employee ID,Employee Name,Hire Date,Exit Date,Manager,Skill,Training Wave
1/01/2023,805111,Claude Kent,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805112,Issac Wall,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805113,Yasir Odonnell,1/01/2023,25/11/2023,Julien Smith,Service,Wave1
1/01/2023,805114,Alasdair Gould,1/01/2023,,Claudia Parker,Sales,Wave1
1/01/2023,805115,Dawn Thomas,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805116,Malachi Sharp,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805117,Sydney Glenn,1/01/2023,16/03/2023,Julien Smith,Service,Wave1
1/01/2023,805118,Rhonda Allen,1/01/2023,,Claudia Parker,Sales,Wave1
1/01/2023,805119,Rhianna Carpenter,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805120,Jade Daugherty,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805121,Sonia Burton,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805122,Poppie Randolph,1/01/2023,,Claudia Parker,Sales,Wave1
1/01/2023,805123,Anisha Manning,1/01/2023,27/09/2023,Julien Smith,Service,Wave1
1/01/2023,805124,Nate Mayo,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805125,Rihanna Nolan,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805126,Jensen Andersen,1/01/2023,,Claudia Parker,Sales,Wave1
1/01/2023,805127,Kamil Salazar,1/01/2023,13/02/2023,Julien Smith,Service,Wave1
1/01/2023,805128,Yahya Jennings,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805129,Florence Faulkner,1/01/2023,,Julien Smith,Service,Wave1
1/01/2023,805130,Corey Byrne,1/01/2023,,Claudia Parker,Sales,Wave1
1/01/2023,805131,Clark Clay,15/04/2023,,Julien Smith,Service,Wave2
1/01/2023,805132,Allen Prince,15/04/2023,,Julien Smith,Service,Wave2
1/01/2023,805133,Pamela Blankenship,15/04/2023,16/05/2023,Julien Smith,Service,Wave2
1/01/2023,805134,Halle Barnes,15/04/2023,,Claudia Parker,Sales,Wave2
1/01/2023,805135,Aleena Waters,15/04/2023,,Julien Smith,Service,Wave2
1/01/2023,805136,Harun Melendez,15/04/2023,,Julien Smith,Service,Wave2
1/01/2023,805137,Reid Haas,15/04/2023,9/07/2023,Julien Smith,Service,Wave2
1/01/2023,805138,Casper Tapia,15/04/2023,11/07/2023,Claudia Parker,Sales,Wave2
1/01/2023,805139,Iona Sanchez,15/04/2023,,Julien Smith,Service,Wave2
1/01/2023,805140,Sulaiman Crane,15/04/2023,,Julien Smith,Service,Wave2
1/01/2023,805141,Marjorie Hanna,21/06/2023,,Julien Smith,Service,Wave3
1/01/2023,805142,Joan Reilly,21/06/2023,,Claudia Parker,Sales,Wave3
1/01/2023,805143,Emre Gomez,21/06/2023,,Julien Smith,Service,Wave3
1/01/2023,805144,Zakariya Pruitt,21/06/2023,29/06/2023,Julien Smith,Service,Wave3
1/01/2023,805145,Ellen Mcpherson,21/06/2023,23/08/2023,Julien Smith,Service,Wave3
1/01/2023,805146,Heidi Barker,21/06/2023,,Claudia Parker,Sales,Wave3
1/01/2023,805147,Jake Christensen,21/06/2023,,Julien Smith,Service,Wave3
1/01/2023,805148,Bill Ponce,21/06/2023,,Julien Smith,Service,Wave3
1/01/2023,805149,Katie Solis,21/06/2023,,Julien Smith,Service,Wave3
1/01/2023,805150,Brodie Anthony,21/06/2023,,Claudia Parker,Sales,Wave3
1/01/2023,805151,Dennis O'Connor,5/09/2023,,Julien Smith,Service,Wave4
1/01/2023,805152,Frederick Zamora,5/09/2023,,Julien Smith,Service,Wave4
1/01/2023,805153,Honey Richardson,5/09/2023,4/10/2023,Julien Smith,Service,Wave4
1/01/2023,805154,Wilson Rollins,5/09/2023,,Claudia Parker,Sales,Wave4
1/01/2023,805155,Nikodem Shields,5/09/2023,,Julien Smith,Service,Wave4
1/01/2023,805156,Camilla Moyer,5/09/2023,15/12/2023,Julien Smith,Service,Wave4
1/01/2023,805157,Velma Randall,5/09/2023,19/12/2023,Julien Smith,Service,Wave4
